"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 12월 28일","2,467.49","2,439.31","2,467.51","2,437.26","220.34M","1.26%"
"2017년 12월 27일","2,436.67","2,420.86","2,436.68","2,411.48","194.85M","0.38%"
"2017년 12월 26일","2,427.34","2,447.67","2,457.19","2,427.34","224.64M","-0.54%"
"2017년 12월 22일","2,440.54","2,437.59","2,444.57","2,426.94","230.41M","0.44%"
"2017년 12월 21일","2,429.83","2,471.34","2,471.73","2,429.83","247.33M","-1.72%"
"2017년 12월 20일","2,472.37","2,473.82","2,484.50","2,470.62","236.18M","-0.25%"
"2017년 12월 19일","2,478.53","2,487.83","2,498.67","2,470.49","308.39M","-0.13%"
"2017년 12월 18일","2,481.88","2,488.83","2,488.83","2,477.29","324.36M","-0.01%"
"2017년 12월 15일","2,482.07","2,488.39","2,495.08","2,475.99","340.76M","0.51%"
"2017년 12월 14일","2,469.48","2,486.57","2,514.61","2,469.48","317.79M","-0.45%"
"2017년 12월 13일","2,480.55","2,462.42","2,481.92","2,457.70","254.95M","0.79%"
"2017년 12월 12일","2,461.00","2,471.23","2,471.43","2,455.39","281.19M","-0.42%"
"2017년 12월 11일","2,471.49","2,467.81","2,471.99","2,457.98","240.14M","0.30%"
"2017년 12월 08일","2,464.00","2,470.09","2,473.17","2,459.02","406.38M","0.08%"
"2017년 12월 07일","2,461.98","2,479.55","2,480.85","2,452.40","404.85M","-0.50%"
"2017년 12월 06일","2,474.37","2,510.19","2,510.47","2,474.29","507.62M","-1.42%"
"2017년 12월 05일","2,510.12","2,490.73","2,513.68","2,487.15","395.43M","0.34%"
"2017년 12월 04일","2,501.67","2,486.72","2,501.67","2,476.29","323.85M","1.06%"
"2017년 12월 01일","2,475.41","2,488.92","2,488.92","2,472.75","288.57M","-0.04%"
"2017년 11월 30일","2,476.37","2,502.22","2,506.32","2,474.28","339.02M","-1.45%"
"2017년 11월 29일","2,512.90","2,517.26","2,524.41","2,508.66","301.21M","-0.05%"
"2017년 11월 28일","2,514.19","2,512.52","2,521.06","2,500.93","348.24M","0.25%"
"2017년 11월 27일","2,507.81","2,544.74","2,546.71","2,506.69","284.89M","-1.44%"
"2017년 11월 24일","2,544.33","2,539.79","2,544.33","2,533.98","297.94M","0.28%"
"2017년 11월 23일","2,537.15","2,542.34","2,544.58","2,532.45","391.29M","-0.13%"
"2017년 11월 22일","2,540.51","2,546.61","2,553.22","2,535.19","485.67M","0.39%"
"2017년 11월 21일","2,530.70","2,533.85","2,539.88","2,525.96","484.89M","0.12%"
"2017년 11월 20일","2,527.67","2,536.80","2,542.62","2,523.52","404.26M","-0.25%"
"2017년 11월 17일","2,533.99","2,546.05","2,559.10","2,533.99","362.19M","-0.03%"
"2017년 11월 16일","2,534.79","2,522.42","2,538.28","2,514.51","302.93M","0.66%"
"2017년 11월 15일","2,518.25","2,525.60","2,526.61","2,511.76","398.22M","-0.33%"
"2017년 11월 14일","2,526.64","2,532.55","2,532.95","2,520.99","287.77M","-0.15%"
"2017년 11월 13일","2,530.35","2,548.27","2,552.28","2,527.20","266.53M","-0.50%"
"2017년 11월 10일","2,542.95","2,541.18","2,547.61","2,534.60","291.52M","-0.30%"
"2017년 11월 09일","2,550.57","2,559.93","2,559.93","2,536.54","293.54M","-0.07%"
"2017년 11월 08일","2,552.40","2,534.48","2,558.74","2,533.73","277.04M","0.27%"
"2017년 11월 07일","2,545.44","2,548.30","2,554.13","2,540.67","253.92M","-0.16%"
"2017년 11월 06일","2,549.41","2,557.29","2,559.90","2,529.94","221.19M","-0.33%"
"2017년 11월 03일","2,557.97","2,558.37","2,558.37","2,539.72","292.77M","0.46%"
"2017년 11월 02일","2,546.36","2,560.34","2,561.63","2,542.02","527.73M","-0.40%"
"2017년 11월 01일","2,556.47","2,535.97","2,556.47","2,535.83","361.80M","1.31%"
"2017년 10월 31일","2,523.43","2,500.21","2,528.32","2,498.05","313.79M","0.86%"
"2017년 10월 30일","2,501.93","2,513.87","2,513.87","2,497.42","342.01M","0.21%"
"2017년 10월 27일","2,496.63","2,485.44","2,499.15","2,479.67","511.23M","0.64%"
"2017년 10월 26일","2,480.63","2,489.60","2,495.99","2,480.63","646.88M","-0.48%"
"2017년 10월 25일","2,492.50","2,495.87","2,497.41","2,481.48","599.44M","0.08%"
"2017년 10월 24일","2,490.49","2,489.31","2,497.35","2,487.17","232.01M","0.02%"
"2017년 10월 23일","2,490.05","2,497.65","2,500.33","2,485.48","274.20M","0.02%"
"2017년 10월 20일","2,489.54","2,477.30","2,489.54","2,476.88","313.21M","0.67%"
"2017년 10월 19일","2,473.06","2,485.72","2,490.94","2,468.67","236.62M","-0.40%"
"2017년 10월 18일","2,482.91","2,481.53","2,490.58","2,475.67","244.24M","-0.06%"
"2017년 10월 17일","2,484.37","2,484.96","2,487.88","2,478.76","199.05M","0.17%"
"2017년 10월 16일","2,480.05","2,483.17","2,487.71","2,470.24","224.42M","0.26%"
"2017년 10월 13일","2,473.62","2,473.65","2,479.73","2,468.14","234.80M","-0.05%"
"2017년 10월 12일","2,474.76","2,461.70","2,474.76","2,459.48","256.21M","0.68%"
"2017년 10월 11일","2,458.16","2,442.49","2,458.16","2,439.81","201.77M","1.00%"
"2017년 10월 10일","2,433.81","2,425.63","2,443.20","2,421.10","221.74M","1.64%"
"2017년 09월 29일","2,394.47","2,378.66","2,394.47","2,378.66","184.19M","0.90%"
"2017년 09월 28일","2,373.14","2,374.10","2,379.54","2,365.67","194.77M","0.02%"
"2017년 09월 27일","2,372.57","2,376.89","2,377.18","2,368.92","202.62M","-0.07%"
"2017년 09월 26일","2,374.32","2,371.62","2,381.31","2,365.34","319.12M","-0.26%"
"2017년 09월 25일","2,380.40","2,388.77","2,392.44","2,374.69","339.35M","-0.35%"
"2017년 09월 22일","2,388.71","2,404.35","2,409.30","2,381.81","333.62M","-0.74%"
"2017년 09월 21일","2,406.50","2,412.01","2,415.13","2,401.89","335.34M","-0.24%"
"2017년 09월 20일","2,412.20","2,420.82","2,429.12","2,405.78","303.29M","-0.16%"
"2017년 09월 19일","2,416.05","2,419.30","2,422.05","2,411.68","254.59M","-0.09%"
"2017년 09월 18일","2,418.21","2,390.58","2,418.24","2,389.65","273.48M","1.35%"
"2017년 09월 15일","2,386.07","2,368.44","2,386.07","2,365.37","298.74M","0.35%"
"2017년 09월 14일","2,377.66","2,365.54","2,377.66","2,358.43","314.26M","0.74%"
"2017년 09월 13일","2,360.18","2,370.54","2,373.61","2,360.17","318.87M","-0.22%"
"2017년 09월 12일","2,365.47","2,372.02","2,372.45","2,359.12","333.57M","0.27%"
"2017년 09월 11일","2,359.08","2,354.86","2,369.72","2,354.35","243.61M","0.66%"
"2017년 09월 08일","2,343.72","2,350.19","2,351.73","2,340.63","214.59M","-0.11%"
"2017년 09월 07일","2,346.19","2,328.94","2,349.79","2,328.92","277.04M","1.14%"
"2017년 09월 06일","2,319.82","2,324.84","2,325.56","2,314.31","252.68M","-0.29%"
